"Name","Country","Region","Timezone","Rank","Latitude","Longitude","Weather Text","Is Day Time","Temperature Celsius","Temperature Fahrenheit","Last Updated At"
"Dhaka","Bangladesh","Asia","Asia/Dhaka","10","23.71","90.407","Partly cloudy","false","31.1","88","2025-04-27T20:22:00+06:00"
"Kinshasa","Democratic Republic of the Congo","Africa","Africa/Kinshasa","10","-4.316","15.298","Clouds and sun","true","31.5","89","2025-04-27T15:21:00+01:00"
"Santiago","Chile","South America","America/Santiago","10","-33.446","-70.659","Sunny","true","13.1","56","2025-04-27T10:20:00-04:00"
"Beijing","China","Asia","Asia/Shanghai","10","39.917","116.407","Clear","false","12.8","55","2025-04-27T22:18:00+08:00"
"Bogota","Colombia","South America","America/Bogota","10","4.628","-74.077","Mostly cloudy","true","17","63","2025-04-27T09:20:00-05:00"
"Berlin","Germany","Europe","Europe/Berlin","10","52.518","13.406","Sunny","true","17","63","2025-04-27T16:26:00+02:00"
"Cairo","Egypt","Africa","Africa/Cairo","10","30.084","31.255","Sunny","true","30.5","87","2025-04-27T17:21:00+03:00"
"Madrid","Spain","Europe","Europe/Madrid","10","40.41","-3.686","Mostly sunny","true","20.2","68","2025-04-27T16:21:00+02:00"
"London","United Kingdom","Europe","Europe/London","10","51.514","-0.107","Mostly cloudy","true","21","70","2025-04-27T15:21:00+01:00"
"Athens","Greece","Europe","Europe/Athens","10","37.984","23.728","Mostly cloudy","true","18.9","66","2025-04-27T17:26:00+03:00"
"Hong Kong","Hong Kong","Asia","Asia/Hong_Kong","10","22.369","114.174","Overcast","false","25.6","78","2025-04-27T22:18:00+08:00"
"Jakarta","Indonesia","Asia","Asia/Jakarta","10","-6.175","106.827","Partly cloudy","false","27.8","82","2025-04-27T21:20:00+07:00"
"Baghdad","Iraq","Middle East","Asia/Baghdad","10","33.328","44.386","Mostly cloudy","true","32.8","91","2025-04-27T17:27:00+03:00"
"Tokyo","Japan","Asia","Asia/Tokyo","10","35.683","139.809","Cloudy","false","20.4","69","2025-04-27T23:16:00+09:00"
"Seoul","South Korea","Asia","Asia/Seoul","10","37.537","126.97","Some clouds","false","14.2","58","2025-04-27T23:27:00+09:00"
"Mexico City","Mexico","North America","America/Mexico_City","10","19.433","-99.133","Mostly sunny","true","15","59","2025-04-27T08:20:00-06:00"
"Lima","Peru","South America","America/Lima","10","-12.082","-77.045","Partly sunny","true","19.6","67","2025-04-27T09:20:00-05:00"
"Moscow","Russia","Asia","Europe/Moscow","10","55.752","37.619","Partly sunny","true","2.8","37","2025-04-27T17:27:00+03:00"
"Riyadh","Saudi Arabia","Middle East","Asia/Riyadh","10","24.64","46.753","Hazy sunshine","true","36.9","98","2025-04-27T17:22:00+03:00"
"Singapore","Singapore","Asia","Asia/Singapore","10","1.311","103.843","Some clouds","false","28.9","84","2025-04-27T22:20:00+08:00"
"Bangkok","Thailand","Asia","Asia/Bangkok","10","13.731","100.521","Cloudy","false","29.9","86","2025-04-27T21:22:00+07:00"
"Hanoi","Vietnam","Asia","Asia/Ho_Chi_Minh","10","20.999","105.7","Mostly cloudy","false","27.4","81","2025-04-27T21:22:00+07:00"
"Sydney","Australia","Oceania","Australia/Sydney","11","-33.87","151.209","Some clouds","false","19.1","66","2025-04-28T00:25:00+10:00"
"Shanghai","China","Asia","Asia/Shanghai","11","31.232","121.444","Cloudy","false","20","68","2025-04-27T22:18:00+08:00"
"Delhi","India","Asia","Asia/Kolkata","11","28.643","77.118","Hazy clouds","false","36.2","97","2025-04-27T19:46:00+05:30"
"Bengaluru","India","Asia","Asia/Kolkata","11","12.991","77.579","Mostly clear","false","31.3","88","2025-04-27T19:52:00+05:30"
"Mumbai","India","Asia","Asia/Kolkata","11","19.143","72.878","Clear","false","32.8","91","2025-04-27T19:57:00+05:30"
"Kolkata","India","Asia","Asia/Kolkata","11","22.526","88.353","Some clouds","false","29.3","85","2025-04-27T19:52:00+05:30"
"Karachi","Pakistan","Asia","Asia/Karachi","11","24.89","67.029","Clear","false","32.2","90","2025-04-27T19:22:00+05:00"
"Istanbul","Türkiye","Middle East","Europe/Istanbul","11","41.011","28.958","Mostly sunny","true","13.4","56","2025-04-27T17:27:00+03:00"
"Los Angeles","United States","North America","America/Los_Angeles","15","34.052","-118.244","Mostly cloudy","true","11","52","2025-04-27T07:27:00-07:00"
"New York","United States","North America","America/New_York","15","40.779","-73.969","Cloudy","true","11.1","52","2025-04-27T10:13:00-04:00"
"Kabul","Afghanistan","Asia","Asia/Kabul","20","34.531","69.137","Clear","false","21.3","70","2025-04-27T18:52:00+04:30"
"Buenos Aires","Argentina","South America","America/Argentina/Buenos_Aires","20","-34.608","-58.437","Sunny","true","17.8","64","2025-04-27T11:20:00-03:00"
"Havana","Cuba","Central America","America/Havana","20","23.117","-82.389","Mostly sunny","true","25","77","2025-04-27T10:20:00-04:00"
"Paris","France","Europe","Europe/Paris","20","48.857","2.351","Mostly cloudy","true","21","70","2025-04-27T16:16:00+02:00"
"Tehran","Iran","Middle East","Asia/Tehran","20","35.701","51.407","Thunderstorm","true","30","86","2025-04-27T17:57:00+03:30"
"Manila","Philippines","Asia","Asia/Manila","20","14.59","120.982","Clear","false","28.8","84","2025-04-27T22:30:00+08:00"
"Belgrade","Serbia","Europe","Europe/Belgrade","20","44.817","20.464","Partly sunny","true","16.5","62","2025-04-27T16:21:00+02:00"
"Dakar","Senegal","Africa","Africa/Dakar","20","14.687","-17.452","Sunny","true","25","77","2025-04-27T14:21:00+00:00"
"Taipei City","Taiwan","Asia","Asia/Taipei","20","25.048","121.514","Overcast","false","22.2","72","2025-04-27T22:27:00+08:00"
"Cape Town","South Africa","Africa","Africa/Johannesburg","20","-33.979","18.482","Mostly sunny","true","24.4","76","2025-04-27T16:21:00+02:00"
"São Paulo","Brazil","South America","America/Sao_Paulo","21","-23.567","-46.57","Mostly cloudy","true","22.2","72","2025-04-27T11:20:00-03:00"
"Toronto","Canada","North America","America/Toronto","21","43.649","-79.38","Sunny","true","12.2","54","2025-04-27T10:27:00-04:00"
"Osaka-shi","Japan","Asia","Asia/Tokyo","21","34.667","135.5","Cloudy","false","19.5","67","2025-04-27T23:27:00+09:00"
"Jerusalem","Israel","Middle East","Asia/Jerusalem","30","31.774","35.225","Sunny","true","18.9","66","2025-04-27T17:22:00+03:00"
"Amsterdam","Netherlands","Europe","Europe/Amsterdam","30","52.372","4.9","Sunny","true","18.9","66","2025-04-27T16:26:00+02:00"
"Stockholm","Sweden","Europe","Europe/Stockholm","30","59.314","18.069","Mostly sunny","true","14.6","58","2025-04-27T16:26:00+02:00"
"Honolulu","United States","North America","Pacific/Honolulu","31","21.326","-157.845","Partly cloudy","false","22.6","73","2025-04-27T04:27:00-10:00"
"Reykjavik","Iceland","Arctic","Atlantic/Reykjavik","40","64.137","-21.902","Mostly cloudy","true","11.1","52","2025-04-27T14:26:00+00:00"
